date,1. open,2. high,3. low,4. close,5. volume
2023-11-08,2.85,2.86,2.71,2.74,8693055.0
2023-11-07,2.8,2.86,2.72,2.83,7279465.0
2023-11-06,3.16,3.16,2.78,2.82,15042787.0
2023-11-03,3.03,3.3,3.01,3.08,20710909.0
2023-11-02,2.59,2.9,2.59,2.89,18553300.0
2023-11-01,2.53,2.58,2.44,2.51,13084824.0
2023-10-31,2.47,2.56,2.41,2.54,10334534.0
2023-10-30,2.55,2.57,2.385,2.46,10920172.0
2023-10-27,2.52,2.58,2.395,2.49,23675457.0
2023-10-26,2.57,2.7,2.45,2.49,18272737.0
2023-10-25,2.76,2.76,2.59,2.61,14636354.0
2023-10-24,2.84,3.05,2.76,2.77,17304102.0
2023-10-23,2.92,2.98,2.775,2.8,17970580.0
2023-10-20,3.01,3.17,2.94,2.97,18672275.0
2023-10-19,3.28,3.29,3.08,3.11,16960667.0
2023-10-18,3.56,3.61,3.23,3.24,19892200.0
2023-10-17,3.34,3.65,3.3,3.64,18119964.0
2023-10-16,3.45,3.52,3.36,3.38,12399729.0
2023-10-13,3.59,3.6298,3.39,3.44,17443052.0
2023-10-12,3.76,3.76,3.5,3.58,26033497.0
2023-10-11,4.58,4.619,3.75,3.78,102265660.0
2023-10-10,4.1,4.51,4.09,4.49,11981634.0
2023-10-09,4.23,4.42,4.05,4.09,12284670.0
2023-10-06,4.08,4.34,4.05,4.31,11602357.0
2023-10-05,4.32,4.35,4.12,4.16,11575494.0
2023-10-04,4.39,4.45,4.2,4.4,11638388.0
2023-10-03,4.69,4.7,4.26,4.38,20849938.0
2023-10-02,4.98,5.0,4.71,4.75,10065062.0
2023-09-29,5.07,5.18,4.88,4.97,10870559.0
2023-09-28,5.05,5.1,4.765,4.98,12078874.0
2023-09-27,5.08,5.23,4.982,5.02,15714615.0
2023-09-26,4.84,4.97,4.7305,4.85,9592092.0
2023-09-25,5.02,5.195,4.91,4.92,17801226.0
2023-09-22,5.15,5.24,4.92,5.02,15632088.0
2023-09-21,5.02,5.16,4.94,5.09,17519782.0
2023-09-20,5.44,5.49,5.17,5.18,10975073.0
2023-09-19,5.34,5.42,5.21,5.37,10731649.0
2023-09-18,5.62,5.65,5.34,5.37,11988746.0
2023-09-15,5.96,6.03,5.57,5.62,17868614.0
2023-09-14,5.81,6.11,5.81,6.05,11008406.0
2023-09-13,5.67,5.85,5.54,5.8,12221535.0
2023-09-12,5.69,5.89,5.59,5.67,15842139.0
2023-09-11,5.77,5.84,5.46,5.75,14033231.0
2023-09-08,6.33,6.33,5.67,5.72,21523831.0
2023-09-07,5.925,6.29,4.96,6.29,44927959.0
2023-09-06,7.24,7.405,7.04,7.06,11371736.0
2023-09-05,7.4,7.57,7.21,7.26,8501945.0
2023-09-01,7.23,7.54,7.23,7.44,6224552.0
2023-08-31,7.36,7.46,7.125,7.16,6175518.0
2023-08-30,7.28,7.44,7.19,7.32,5910439.0
2023-08-29,6.87,7.3,6.83,7.24,7235944.0
2023-08-28,6.9,7.01,6.83,6.93,4261461.0
2023-08-25,6.8,6.89,6.65,6.83,5447513.0
2023-08-24,7.1,7.13,6.79,6.79,6945061.0
2023-08-23,6.97,7.15,6.9,7.07,4662869.0
2023-08-22,7.06,7.23,6.91,7.02,6317078.0
2023-08-21,7.06,7.185,6.92,6.97,7087640.0
2023-08-18,7.03,7.31,6.94,7.06,6582061.0
2023-08-17,7.37,7.42,7.18,7.2,5290073.0
2023-08-16,7.52,7.54,7.21,7.29,9681561.0
2023-08-15,7.69,7.77,7.54,7.59,5270629.0
2023-08-14,7.71,7.89,7.55,7.81,5534894.0
2023-08-11,7.74,7.85,7.64,7.81,6073329.0
2023-08-10,7.98,8.1,7.74,7.81,7806522.0
2023-08-09,8.02,8.13,7.8403,7.97,5904674.0
2023-08-08,7.87,8.03,7.73,7.99,7931646.0
2023-08-07,8.01,8.05,7.72,8.01,6554218.0
2023-08-04,8.2,8.235,7.99,8.05,6072728.0
2023-08-03,8.07,8.26,8.06,8.11,5805864.0
2023-08-02,8.2,8.22,7.85,8.12,11689708.0
2023-08-01,8.54,8.579,8.32,8.4,5154194.0
2023-07-31,8.3,8.68,8.27,8.66,9489677.0
2023-07-28,8.08,8.28,8.0,8.23,11060676.0
2023-07-27,8.37,8.4499,7.9,7.93,11697215.0
2023-07-26,8.13,8.55,8.1,8.22,10605047.0
2023-07-25,8.36,8.43,8.11,8.12,7110920.0
2023-07-24,8.34,8.44,8.2,8.34,6019229.0
2023-07-21,8.34,8.4,8.065,8.33,10822763.0
2023-07-20,8.64,8.64,8.23,8.26,12373375.0
2023-07-19,8.67,9.04,8.6,8.69,13248842.0
2023-07-18,8.53,8.85,8.5225,8.55,8227332.0
2023-07-17,8.26,8.789,8.13,8.66,10358304.0
2023-07-14,8.86,9.02,8.25,8.26,11894809.0
2023-07-13,9.05,9.2,8.79,8.85,12892307.0
2023-07-12,9.12,9.23,8.88,8.99,11535844.0
2023-07-11,9.13,9.13,8.78,8.93,9494470.0
2023-07-10,8.63,9.08,8.51,9.02,8802916.0
2023-07-07,8.7,8.9201,8.61,8.67,10940175.0
2023-07-06,8.64,8.7199,8.09,8.66,13087467.0
2023-07-05,8.59,9.07,8.4804,8.85,9051840.0
2023-07-03,8.94,9.2,8.67,8.7,7910367.0
2023-06-30,8.8,8.84,8.625,8.79,9056986.0
2023-06-29,8.4,8.85,8.3001,8.69,14422827.0
2023-06-28,7.83,8.37,7.76,8.36,14331804.0
2023-06-27,7.63,7.88,7.39,7.87,10948354.0
2023-06-26,7.35,7.61,7.33,7.42,6046731.0
2023-06-23,7.49,7.54,7.22,7.36,15680546.0
2023-06-22,7.89,7.94,7.58,7.6,14701057.0
2023-06-21,8.11,8.17,7.84,7.99,19122176.0
2023-06-20,8.69,8.8,8.13,8.2,17452228.0
2023-06-16,9.15,9.16,8.65,8.88,13321514.0
2023-06-15,8.91,9.26,8.77,9.05,10051786.0
2023-06-14,9.71,9.78,8.92,9.05,13312825.0
2023-06-13,8.96,9.81,8.93,9.62,19590366.0
2023-06-12,8.39,8.98,7.9,8.9,26200414.0
2023-06-09,8.87,9.06,8.3,8.34,33877228.0
2023-06-08,9.83,10.1,9.51,9.61,8624490.0
2023-06-07,9.69,10.05,9.56,9.78,13496190.0
2023-06-06,8.72,9.59,8.66,9.47,12748807.0
2023-06-05,9.08,9.08,8.66,8.75,9980100.0
2023-06-02,9.67,9.99,9.07,9.07,18959127.0
2023-06-01,9.81,9.97,9.34,9.75,14613376.0
2023-05-31,9.52,9.88,9.305,9.67,13116624.0
2023-05-30,9.25,9.86,8.94,9.69,23615623.0
2023-05-26,8.35,8.52,8.05,8.49,7828386.0
2023-05-25,8.45,8.51,8.14,8.32,4962358.0
2023-05-24,8.4,8.4,8.12,8.36,4566820.0
2023-05-23,8.29,8.77,8.2,8.49,7843413.0
2023-05-22,7.96,8.415,7.84,8.31,8518639.0
2023-05-19,8.19,8.26,7.82,7.93,9598812.0
2023-05-18,8.31,8.33,8.01,8.18,7383514.0
2023-05-17,8.06,8.34,7.9,8.33,8946441.0
2023-05-16,8.5,8.56,8.0,8.01,10138307.0
2023-05-15,8.21,8.74,8.19,8.63,6495588.0
2023-05-12,8.63,8.875,8.16,8.23,8065796.0
2023-05-11,8.78,8.815,8.58,8.58,4053487.0
2023-05-10,9.19,9.205,8.725,8.77,5413357.0
2023-05-09,8.85,9.035,8.665,9.01,5843441.0
2023-05-08,8.83,9.17,8.62,9.06,7267307.0
2023-05-05,8.84,9.0,8.76,8.77,5046001.0
2023-05-04,8.56,8.73,8.48,8.71,5660943.0
2023-05-03,8.2,8.77,8.12,8.56,8632105.0
2023-05-02,8.38,8.4599,8.1,8.24,8513546.0
2023-05-01,8.7,8.7,8.21,8.46,8383413.0
2023-04-28,8.82,9.0,8.61,8.67,9426588.0
2023-04-27,8.66,9.02,8.59,8.91,6106206.0
2023-04-26,8.65,8.71,8.43,8.54,6181714.0
2023-04-25,8.72,8.75,8.47,8.6,8743028.0
2023-04-24,8.83,8.965,8.66,8.84,4476829.0
2023-04-21,8.82,9.035,8.72,8.84,8825095.0
2023-04-20,8.82,9.0479,8.78,8.86,5284425.0
2023-04-19,8.96,9.12,8.69,9.05,8525037.0
2023-04-18,9.17,9.22,8.93,9.05,7805457.0
2023-04-17,8.75,9.21,8.65,9.18,9919796.0
2023-04-14,8.51,8.88,8.4101,8.72,13403919.0
2023-04-13,8.88,8.9809,8.51,8.55,14623925.0
